Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01μF,C0402,136.5,-65.25,0,top
C2,0.1μF,C0402,136.5,-66.25,0,top
C3,0.01μF,C0402,143,-60.25,-90,top
C4,20pF,C0402,143.75,-53.75,-90,top
C5,0.1μF,C0402,144,-60.25,-90,top
C6,0.01μF,C0402,138.5,-65.25,180,top
C7,20pF,C0402,147,-57.25,180,top
C8,0.1μF,C0402,138.5,-66.25,180,top
C9,0.01μF,C0402,141.75,-57.25,180,top
C10,0.1μF,C0402,141.75,-56.25,180,top
C11,0.01μF,C0402,137.25,-56.75,-90,top
C12,0.1μF,C0402,136.25,-56.75,-90,top
C13,0.1μF,C0402,139,-57,180,top
C14,0.1μF,C0402,140.25,-54.25,90,top
C16,0.1μF,C0402,139.25,-54.25,90,top
C22,100μF,C0805,160.25,-51.75,180,top
C23,100μF,C0805,160.55,-58.5,180,top
C24,0.01μF,C0402,159.5,-53.75,180,top
C25,0.1μF,C0402,157.25,-51.75,-90,top
C26,0.1μF,C0402,159,-56,-90,top
C27,0.01μF,C0402,160.25,-56,-90,top
R1,4.7k,R0402,134,-61,180,top
R2,24,R0402,138.5,-52.5,0,top
R3,51,R0402,140.75,-52.5,0,top
R6,4.7k,R0402,134.5,-65.25,90,top
R7,24,R0402,137.25,-54.25,90,top
R9,51,R0402,138.25,-54.26,-90,top
R23,560,R0402,145,-57.25,180,top
R24,4.7k,R0402,134,-63,180,top
R25,4.7k,R0402,134,-62,180,top
R26,4.7k,R0402,140.25,-65.75,-90,top
U1,TLV75718PDBV,SOT-23-5,156.5,-55.75,-90,top
Y1,28.63636MHz,SMD3225-4P,146.25,-54.25,-90,top
